Sample name,Lithostratigraphy,Petrography,Facies ID,Chronostratigraphy,Object of investigation,Sample type,Architectural element,Depositional environment,Local x [m],Longitude [WGS84],Latitude [WGS84],Local y [m],Local z [m],Grain density [g cm-3],Bulk density [g cm^-3],Porosity [%],Intrinsic permeability [m^2],Thermal conductivity [W m^-1 K^-1],Thermal diffusivity [m^2 s^-1],Location relative to fault
OSB1_1,Disibodenberg,Lithic- Arenite,Sm,Cisuralian,Sandstone Quarry Obersulzbach,Plug,Clinothem,Delta front,0,0,0,0,0,2.6526,2.1943,17.2773882,1.78E-15,2.411,1.609,West
OSB1_2,Disibodenberg,Lithic- Arenite,Sm,Cisuralian,Sandstone Quarry Obersulzbach,Plug,Clinothem,Delta front,0,0,0,0,0,2.6562,2.178,18.0031624,1.68E-15,2.451,1.654,West
OSB4_1,Disibodenberg,Lithic- Arenite,Sm,Cisuralian,Sandstone Quarry Obersulzbach,Plug,Clinothem,Delta front,0,0,0,0,0,2.6572,2.1596,18.726479,1.78E-15,0,0,West
OSB4_2,Untere Langen,Lithic- Arenite,Sm,Cisuralian,Sandstone Quarry Obersulzbach,Plug,Clinothem,Delta front,0,0,0,0,0,2.659,2.1636,18.6310643,2.17E-15,2.1,1.334,West
OSB6,Disibodenberg,Lithic- Arenite,Sm,Cisuralian,Sandstone Quarry Obersulzbach,Plug,Clinothem,Delta front,-4.7,7.647276,49.523632,14.5,4.7,2.66,2.1819,17.9736842,1.58E-15,2.311,1.514,West
OSB7,Disibodenberg,Lithic- Arenite,Sm,Cisuralian,Sandstone Quarry Obersulzbach,Plug,Clinothem,Delta front,-4.7,7.647276,49.523632,14.5,5.6,2.6566,2.1752,18.1209064,2.07E-15,2.323,1.558,West
OSB8,Disibodenberg,Lithic- Arenite,Sm,Cisuralian,Sandstone Quarry Obersulzbach,Plug,Clinothem,Delta front,-4.7,7.647276,49.523632,14.5,6.2,2.6555,2.1762,18.0493316,1.78E-15,2.268,1.748,West
OSB9,Disibodenberg,Lithic- Arenite,Sm,Cisuralian,Sandstone Quarry Obersulzbach,Plug,Clinothem,Delta front,-4.7,7.647276,49.523632,14.5,6.7,2.6548,2.1951,17.3158053,2.17E-15,2.279,1.48,West
OSB10,Disibodenberg,Lithic- Arenite,Sm,Cisuralian,Sandstone Quarry Obersulzbach,Plug,Clinothem,Delta front,-4.7,7.647276,49.523632,14.5,7.5,2.6555,2.1984,17.2133308,1.78E-15,0,1.4,West
OSB11,Disibodenberg,Lithic- Arenite,Sm,Cisuralian,Sandstone Quarry Obersulzbach,Plug,Clinothem,Delta front,-4.7,7.647276,49.523632,14.5,7.4,2.6558,2.1896,17.5540327,2.27E-15,2.315,1.465,West
OSB12,Disibodenberg,Lithic- Arenite,Sm,Cisuralian,Sandstone Quarry Obersulzbach,Plug,Clinothem,Delta front,-4.7,7.647276,49.523632,14.5,7.6,2.6566,2.185,17.7520139,1.78E-15,2.356,1.664,West
OSB13,Disibodenberg,Lithic- Arenite,Sm,Cisuralian,Sandstone Quarry Obersulzbach,Plug,Clinothem,Delta front,-4.7,7.647276,49.523632,14.5,8.3,2.6566,2.1919,17.4922834,2.07E-15,2.268,1.507,West
OSB14,Disibodenberg,Lithic- Arenite,Sm,Cisuralian,Sandstone Quarry Obersulzbach,Plug,Clinothem,Delta front,-1,7.647274,49.523668,14.5,4.5,2.6559,2.1637,18.5323243,2.27E-15,2.332,1.535,West
OSB15,Disibodenberg,Lithic- Arenite,Sm,Cisuralian,Sandstone Quarry Obersulzbach,Plug,Clinothem,Delta front,-1,7.647274,49.523668,14.5,5.45,2.6499,2.1433,19.1177026,2.27E-15,2.26,1.428,West
OSB16,Disibodenberg,Lithic- Arenite,Sm,Cisuralian,Sandstone Quarry Obersulzbach,Plug,Clinothem,Delta front,-1,7.647274,49.523668,14.5,6.5,2.6509,2.1757,17.9259874,2.47E-15,2.265,1.52,West
