Thermal conductivity [W/mK],x [m],y [m],elevation [m],Date,Name
1.439,3480956.742,5529403.744,166.37,12/10/2016 0:00,Messel GA 1 1
1.287,3480956.742,5529403.744,165.702,12/10/2016 0:00,Messel GA 1 2
1.381,3480956.742,5529403.744,164.51,12/10/2016 0:00,Messel GA 1 4
1.453,3480956.742,5529403.744,164.19,12/10/2016 0:00,Messel GA 1 5
1.201,3480956.742,5529403.744,163.41,12/10/2016 0:00,Messel GA 1 6
1.729,3480956.742,5529403.744,162.173,12/10/2016 0:00,Messel GA1 7
1.561,3480956.742,5529403.744,161.61,12/10/2016 0:00,Messel GA 1 8
1.526,3480938.486,5529403.809,162.776,12/10/2016 0:00,Messel GA 1 9
1.52,3480956.742,5529403.744,160.937,12/10/2016 0:00,Messel GA 1 10
1.818,3480956.742,5529403.744,159.77,12/10/2016 0:00,Messel GA 1 12
1.982,3480956.742,5529403.744,158.708,12/10/2016 0:00,Messel GA 1 13
2.192,3480956.742,5529403.744,157.763,12/10/2016 0:00,Messel GA 1 14
2.449,3480956.742,5529403.744,156.471,12/10/2016 0:00,Messel GA 1 15
1.709,3480956.742,5529403.744,155.425,12/10/2016 0:00,Messel GA 1 16
2.168,3480956.742,5529403.744,154.459,12/10/2016 0:00,Messel GA 1 17
2.033,3480956.742,5529403.744,146.56,12/10/2016 0:00,Messel GA 1 18
1.937,3480938.466,5529398.194,158.125,12/10/2016 0:00,MeGA1.5B
2.311,3480938.466,5529398.194,156.55,12/10/2016 0:00,MeGA1.7A
1.9485,3480938.466,5529398.194,156.475,12/10/2016 0:00,MeGA1.7B
2.295,3480888.451,5530148.412,165.625,12/10/2016 0:00,MeGA2.2A
2.0385,3480888.451,5530148.412,164.225,12/10/2016 0:00,MeGA2.3C
2.653,3480888.451,5530148.412,163.75,12/10/2016 0:00,MeGA2.4B
2.245,3480888.451,5530148.412,163.65,12/10/2016 0:00,MeGA2.4C
2.3535,3480888.451,5530148.412,163.6,12/10/2016 0:00,MeGA2.4D
2.469,3480888.451,5530148.412,163.55,12/10/2016 0:00,MeGA2.4E
1.9595,3480888.451,5530148.412,162.35,12/10/2016 0:00,MeGA2-1-1
1.9515,3480888.451,5530148.412,162.275,12/10/2016 0:00,MeGA2-1-2
2.133,3480888.451,5530148.412,160.3,12/10/2016 0:00,MeGA2-2-1
2.156,3480888.451,5530148.412,160.2,12/10/2016 0:00,MeGA2-2-2
1.9765,3480888.451,5530148.412,160.05,12/10/2016 0:00,MeGA2-2-3
2.193,3480888.451,5530148.412,159.675,12/10/2016 0:00,MeGA2.5A
2.1045,3480888.451,5530148.412,159.525,12/10/2016 0:00,MeGA2.5D
2.288,3480888.451,5530148.412,156.95,12/10/2016 0:00,MeGA2-3-1
2.1175,3480888.451,5530148.412,156.85,12/10/2016 0:00,MeGA2-3-2
1.8415,3480888.451,5530148.412,155.175,12/10/2016 0:00,MeGA2.7A
2.3935,3480888.451,5530148.412,153.95,12/10/2016 0:00,MeGA2.8A
2.0005,3480888.451,5530148.412,153.825,12/10/2016 0:00,MeGA2.8C
2.2075,3480888.451,5530148.412,151.76,12/10/2016 0:00,MeGA2.9C
2.2075,3480888.451,5530148.412,151.75,12/10/2016 0:00,MeGA2.9D
2.151,3480888.451,5530148.412,151.68,12/10/2016 0:00,MeGA2.9F
2.0085,3480888.451,5530148.412,151.625,12/10/2016 0:00,MeGA2.9H
2.22,3480888.451,5530148.412,150.95,12/10/2016 0:00,MeGA2-4-1
2.154,3480888.451,5530148.412,150.85,12/10/2016 0:00,MeGA2-4-2
2.505,3480888.451,5530148.412,149.125,12/10/2016 0:00,MeGA2.11A
2.3175,3480888.451,5530148.412,149.025,12/10/2016 0:00,MeGA2.11C
1.968,3480888.451,5530148.412,148.45,12/10/2016 0:00,MeGA2.12A
2.372,3480888.451,5530148.412,148.35,12/10/2016 0:00,MeGA2.12C
2.729,3480888.451,5530148.412,144.925,12/10/2016 0:00,MeGA2-5-1
2.5605,3480888.451,5530148.412,144.875,12/10/2016 0:00,MeGA2-5-2
2.4285,3480888.451,5530148.412,144.78,12/10/2016 0:00,MeGA2-5-3
2.3495,3480888.451,5530148.412,143.125,12/10/2016 0:00,MeGA2-6-1
2.308,3480888.451,5530148.412,143.05,12/10/2016 0:00,MeGA2-6-2
2.1685,3480888.451,5530148.412,142.15,12/10/2016 0:00,MeGA2.14A
2.2575,3480888.451,5530148.412,139.85,12/10/2016 0:00,MeGA2-7-1
2.197,3480888.451,5530148.412,139.8,12/10/2016 0:00,MeGA2-7-2
2.5365,3480888.451,5530148.412,137.35,12/10/2016 0:00,MeGA2.15B
2.6125,3480888.451,5530148.411,137.25,12/10/2016 0:00,MeGA2.15D
2.5925,3480888.451,5530148.411,136.55,12/10/2016 0:00,MeGA2.16A
2.312,3480888.451,5530148.411,136.45,12/10/2016 0:00,MeGA2.16C
2.018,3480888.451,5530148.411,135.875,12/10/2016 0:00,MeGA2.17B
2.3475,3480888.451,5530148.411,135.8,12/10/2016 0:00,MeGA2.17D
2.747,3480888.451,5530148.411,132.32,12/10/2016 0:00,MeGA2.19A
2.787,3480888.451,5530148.411,132.4,12/10/2016 0:00,MeGA2.19C
2.4315,3480888.451,5530148.411,128.675,12/10/2016 0:00,MeGA2.21B
2.6455,3480888.451,5530148.411,127.7,12/10/2016 0:00,MeGA2-8-3
2.2195,3480888.451,5530148.411,125.45,12/10/2016 0:00,MeGA2.22B
2.091,3480888.451,5530148.411,125.4,12/10/2016 0:00,MeGA2.22C
2.12,3481754.703,5531453.79,149.1,12/10/2016 0:00,B6-1
2.321,3481754.703,5531453.79,146.4,12/10/2016 0:00,B6-2
2.125,3481754.703,5531453.79,142.8,12/10/2016 0:00,B6-3
2.256,3481754.703,5531453.79,137.1,12/10/2016 0:00,B6-4
2.027,3481754.703,5531453.79,147.45,12/10/2016 0:00,B6-10
2.429,3481754.703,5531453.79,144.14,12/10/2016 0:00,B6-12
2.478,3480888.451,5530148.412,166.11,12/10/2016 0:00,GA 2.1
2.671,3480888.675,5530148.464,162.55,12/10/2016 0:00,GA 2.2
2.465,3480888.451,5530148.412,154.53,12/10/2016 0:00,GA 2.4
2.342,3480888.451,5530148.412,150.4,12/10/2016 0:00,GA 2.5
2.166,3480888.451,5530148.412,146.72,12/10/2016 0:00,GA 2.6
2.498,3480888.451,5530148.412,142.6,12/10/2016 0:00,GA 2.7
2.884,3480888.451,5530148.412,138.09,12/10/2016 0:00,GA 2.8
2.608,3480888.451,5530148.411,134.3,12/10/2016 0:00,GA 2.9
2.067,3480888.451,5530148.412,160.14,12/10/2016 0:00,GA 2.2.1
2.387,3480888.451,5530148.412,148.49,12/10/2016 0:00,GA 2.7.1
1.962,3480888.451,5530148.412,140.81,12/10/2016 0:00,GA 2.8.1
2.698,3480888.451,5530148.411,136.69,12/10/2016 0:00,GA 2.9.1
2.038,3480888.451,5530148.411,132.29,12/10/2016 0:00,GA 2.10.1
2.101,3483830.305,5531903.921,162.7,12/10/2016 0:00,B8-01
2.213,3483830.305,5531903.921,159.1,12/10/2016 0:00,B8-02
2.113,3483830.305,5531903.921,154.2,12/10/2016 0:00,B8-03
2.09,3483830.305,5531903.921,151.2,12/10/2016 0:00,B8-04
2.105,3483830.305,5531903.921,146.35,12/10/2016 0:00,B8-05
1.745,3483830.305,5531903.921,143.3,12/10/2016 0:00,B8-06
1.906,3483830.305,5531903.921,137.15,12/10/2016 0:00,B8-07
