alColumnName,alAlias,alTableName,alTableAlias,alImport,alDataType
secIdPk,Section ID,tblSection,Section,0,Numerical
secName,Section Name,tblSection,Section,1,Categorical
secType,Type,tblSection,Section,1,Categorical
secInterpreter,Interpreter,tblSection,Section,0,Categorical
secLatitude,Latitude [WGS84],tblSection,Section,1,Numerical
secLongitude,Longitude [WGS84],tblSection,Section,1,Numerical
secOoiName,Object of Investigation,tblSection,Section,1,Categorical
secInterpreterIdFk,Interpreter ID,tblSection,Section,0,Numerical
secprjIdFk,Project ID,tblSection,Section,0,Numerical
secInterpreterName,Interpreter,tblSection,Section,0,Categorical
secProjectName,Project,tblSection,Section,0,Categorical
litsecIdPk,Bed ID,tblSectionLithofacy,Section lithofacies,0,Numerical
litsecIdFk,Section ID Reference,tblSectionLithofacy,Section lithofacies,1,Numerical
litsecLithostratigraphy,Lithostratigraphy,tblSectionLithofacy,Section lithofacies,1,Categorical
litseclftId,Facies ID,tblSectionLithofacy,Section lithofacies,1,Numerical
litseclftCode,Facies Code,tblSectionLithofacy,Section lithofacies,1,Categorical
litsecTop,Top [m],tblSectionLithofacy,Section lithofacies,1,Numerical
litsecBase,Base [m],tblSectionLithofacy,Section lithofacies,1,Numerical
litsecThickness,Thickness [m],tblSectionLithofacy,Section lithofacies,1,Numerical
litsecGrainSizeTop,Grain size top,tblSectionLithofacy,Section lithofacies,1,Numerical
litsecGrainSizeBase,Grain size base,tblSectionLithofacy,Section lithofacies,1,Numerical
litsecFossils,Fossils,tblSectionLithofacy,Section lithofacies,1,Categorical
affIdPk,Affiliation ID,tblAffiliation,Affiliation,0,Numerical
affname,Affiliation Name,tblAffiliation,Affiliation,1,Categorical
affStreet,Street,tblAffiliation,Affiliation,1,Categorical
affHouseNumber,House nr.,tblAffiliation,Affiliation,1,Numerical
affCity,City,tblAffiliation,Affiliation,1,Categorical
affPostCode,Post code,tblAffiliation,Affiliation,1,Numerical
affURL,URL,tblAffiliation,Affiliation,1,Categorical
affCountry,Country,tblAffiliation,Affiliation,1,Categorical
apermIdFk,Measurement ID,tblApparentPermeability,Apparent permeability,0,Numerical
apermMeasurementDirection,Measurement direction,tblApparentPermeability,Apparent permeability,1,Categorical
apermTemperature,Temperature [ｰC],tblApparentPermeability,Apparent permeability,1,Numerical
apermAirPressure,Air pressure [mbar],tblApparentPermeability,Apparent permeability,1,Numerical
apermDifferentialPressure,Differential pressure [mbar],tblApparentPermeability,Apparent permeability,1,Numerical
apermInjectionPressure,Injection pressure [mbar],tblApparentPermeability,Apparent permeability,1,Numerical
apermValueM2,Apparent permeability [m2],tblApparentPermeability,Apparent permeability,1,Numerical
apermLogM2,Apparent permeability log[m2],tblApparentPermeability,Apparent permeability,1,Numerical
apermValueMD,Apparent permeability [mD],tblApparentPermeability,Apparent permeability,1,Numerical
apermLocalCoordinateX,Local x [cm],tblApparentPermeability,Apparent permeability,1,Numerical
apermLocalCoordinateY,Local y [cm],tblApparentPermeability,Apparent permeability,1,Numerical
apermLocalCoordinateZ,Local z [cm],tblApparentPermeability,Apparent permeability,1,Numerical
apermMeasurementAngle,Measurement angle [ｰ],tblApparentPermeability,Apparent permeability,1,Numerical
sampIdPk,Rock sample ID,tblRockSample,Rock sample,0,Numerical
sampLithofacies,Facies ID,tblRockSample,Rock sample,1,Numerical
sampLabel,Rock sample name,tblRockSample,Rock sample,1,Categorical
sampType,Type,tblRockSample,Rock sample,1,Categorical
sasampSamplingMethod,Sampling Method,tblRockSample,Rock sample,1,Categorical
sampooiName,Object of investigation,tblRockSample,Rock sample,1,Categorical
sampLithostratigraphyName,Lithostratigraphy,tblRockSample,Rock sample,1,Categorical
sampChronStratName,Chronostratigraphy,tblRockSample,Rock sample,1,Categorical
sampPetrographicTerm,Petrography,tblRockSample,Rock sample,1,Categorical
sampLocalXCoordinates,Local x [m],tblRockSample,Rock sample,1,Numerical
sampLocalYCoordinates,Local y [m],tblRockSample,Rock sample,1,Numerical
sampLocalZCoordinates,Local z [m],tblRockSample,Rock sample,1,Numerical
sampMass,Mass [g],tblRockSample,Rock sample,1,Numerical
sampSampler,Sampler,tblRockSample,Rock sample,1,Categorical
sampDate,Date,tblRockSample,Rock sample,1,Date
sampNotes,Notes,tblRockSample,Rock sample,1,Categorical
sampprjIdFk,Project ID,tblRockSample,Rock sample,0,Numerical
sampLatitude,Latitude [WGS84],tblRockSample,Rock sample,1,Numerical
sampLongitude,Longitude [WGS84],tblRockSample,Rock sample,1,Numerical
sampConfidential,Confidential,tblRockSample,Rock sample,1,Categorical
sampProject,Project name,tblRockSample,Rock sample,0,Categorical
sampFaciesFk,Facies type,tblRockSample,Rock sample,0,Numerical
sampThinSectionAvailable,Thin section available,tblRockSample,Rock sample,1,Boolean
sampUploaderIdFk,Uploader ID,tblRockSample,Rock sample,0,Numerical
sampUploaderName,Uploader Name,tblRockSample,Rock sample,0,Categorical
